"filename","subcorpus","code","huni.chars","hrate.chars","huni.strings","hrate.strings","ttr.chars","ttr.strings","rm.chars"
"ind_nfi_778.txt","ind","ind_nfi_778",4.21780839896254,2.69521540829596,5.65108444340343,"4.23462488655189",0.282608695652174,0.896551724137931,0.0303030303030303
"ind_nfi_779.txt","ind","ind_nfi_779",4.31962935444522,3.011940187505,6.02746846736249,"4.65731514987292",0.333333333333333,0.894736842105263,0.0333333333333333
"ind_nfi_78.txt","ind","ind_nfi_78",3.94153748627006,2.65711255647887,5.92959697012252,"4.35835381509972",0.282352941176471,0.73,0.0491803278688525
"ind_nfi_780.txt","ind","ind_nfi_780",4.23341462412955,2.93814680827874,6.16120956470982,"4.58806397248989",0.32183908045977,0.78,0.0338983050847458
"ind_nfi_781.txt","ind","ind_nfi_781",4.23047719263807,2.97206408431372,6.12498054577869,"4.72796578798519",0.268817204301075,0.891566265060241,0.0588235294117647
"ind_nfi_782.txt","ind","ind_nfi_782",5.0071578758626,3.4305495827947,5.02673171209034,"3.13327310039354",0.460674157303371,0.51,0.0208333333333333
"ind_nfi_783.txt","ind","ind_nfi_783",5.0126660218814,3.30431053041142,5.02673171209034,"3.13327310039354",0.460674157303371,0.51,0.0208333333333333
"ind_nfi_784.txt","ind","ind_nfi_784",4.26104326264156,2.83039348595851,6.11249200111032,"4.54414301408658",0.317647058823529,0.9,0.0172413793103448
"ind_nfi_785.txt","ind","ind_nfi_785",4.20123864291559,2.84917071505643,6.29224359518742,"4.82444575569763",0.310344827586207,0.87,0.0833333333333333
"ind_nfi_786.txt","ind","ind_nfi_786",4.61232129790325,3.19325329641433,6.19266203498709,"4.70806100753994",0.4,0.81,0.0392156862745098
"ind_nfi_787.txt","ind","ind_nfi_787",4.3906353589874,3.06885598998884,6.12963946395411,"4.59332234226651",0.288888888888889,0.872093023255814,0.03125
"ind_nfi_788.txt","ind","ind_nfi_788",4.11640352350481,2.80805399371005,6.16403932910746,"4.78034428287822",0.292134831460674,0.873563218390805,0
"ind_nfi_789.txt","ind","ind_nfi_789",4.44231001943136,2.93612112181104,6.40875843973145,"4.93050434223953",0.344827586206897,0.89,0.0526315789473684
