"k","precision","recall","f1"
1,0.83,0.46,0.59
2,0.83,0.46,0.59
3,0.83,0.46,0.59
4,0.83,0.46,0.59
5,0.83,0.46,0.59
6,0.83,0.46,0.59
7,0.83,0.46,0.59
8,0.83,0.46,0.59
9,0.83,0.46,0.59
10,0.83,0.46,0.59
