"k","precision","recall","f1"
1,0.93,0.9,0.91
2,0.9,0.89,0.89
3,0.9,0.88,0.89
4,0.89,0.88,0.88
5,0.88,0.88,0.88
6,0.88,0.88,0.88
7,0.88,0.88,0.88
8,0.9,0.86,0.88
9,0.89,0.87,0.88
10,0.89,0.85,0.87
