"k","precision","recall","f1"
1,0.71,0.72,0.72
2,0.71,0.7,0.71
3,0.71,0.69,0.7
4,0.71,0.68,0.69
5,0.73,0.69,0.71
6,0.72,0.7,0.71
7,0.75,0.69,0.72
8,0.73,0.69,0.71
9,0.74,0.68,0.71
10,0.74,0.68,0.71
