"k","precision","recall","f1"
1,0.67,0.7,0.68
2,0.72,0.65,0.68
3,0.88,0.65,0.75
4,0.9,0.65,0.76
5,0.9,0.6,0.72
6,0.96,0.58,0.72
7,0.92,0.56,0.7
8,0.96,0.53,0.69
9,0.96,0.51,0.67
10,0.95,0.49,0.65
