"k","precision","recall","f1"
1,0.95,0.96,0.96
2,0.91,0.96,0.93
3,0.98,0.96,0.97
4,0.97,0.96,0.97
5,0.97,0.96,0.97
6,0.99,0.96,0.97
7,0.99,0.96,0.97
8,0.99,0.96,0.98
9,0.99,0.96,0.97
10,0.99,0.96,0.97
