"k","precision","recall","f1"
1,0.82,0.75,0.78
2,0.82,0.76,0.79
3,0.82,0.78,0.8
4,0.82,0.79,0.8
5,0.82,0.78,0.79
6,0.81,0.78,0.8
7,0.8,0.79,0.79
8,0.81,0.8,0.8
9,0.81,0.8,0.8
10,0.81,0.8,0.8
