"k","precision","recall","f1"
1,0.89,0.98,0.93
2,0.89,0.95,0.92
3,0.91,0.95,0.93
4,0.93,0.93,0.93
5,0.93,0.95,0.94
6,0.93,0.93,0.93
7,0.93,0.95,0.94
8,0.93,0.95,0.94
9,0.91,0.93,0.92
10,0.91,0.93,0.92
