"k","precision","recall","f1"
1,0.66,0.61,0.64
2,0.67,0.59,0.63
3,0.67,0.59,0.63
4,0.66,0.58,0.62
5,0.69,0.6,0.64
6,0.68,0.59,0.63
7,0.69,0.6,0.64
8,0.69,0.59,0.63
9,0.7,0.6,0.65
10,0.7,0.61,0.65
