"k","precision","recall","f1"
1,0.78,0.85,0.82
2,0.85,0.85,0.85
3,0.93,0.79,0.86
4,0.93,0.79,0.86
5,0.96,0.76,0.85
6,0.96,0.79,0.87
7,1,0.76,0.87
8,1,0.74,0.85
9,1,0.71,0.83
10,0.96,0.65,0.77
