"k","precision","recall","f1"
1,0.82,0.53,0.64
2,0.83,0.53,0.65
3,0.83,0.53,0.65
4,0.82,0.52,0.64
5,0.82,0.53,0.64
6,0.82,0.53,0.64
7,0.83,0.53,0.64
8,0.83,0.53,0.65
9,0.82,0.53,0.64
10,0.82,0.53,0.64
