"k","precision","recall","f1"
1,0.53,0.44,0.48
2,0.61,0.41,0.49
3,0.65,0.41,0.51
4,0.67,0.39,0.49
5,0.64,0.39,0.48
6,0.64,0.39,0.48
7,0.64,0.39,0.48
8,0.63,0.41,0.5
9,0.58,0.37,0.45
10,0.64,0.39,0.48
