"filename","corpus","subcorpus","huni.chars","hrate.chars","ttr.chars","rm.chars"
"rus_nfi_1381.txt","writing","teddi",2.64643934467102,1.6176651769469,0.7,0.333333333333333
"hin_nfi_39.txt","writing","teddi",2.92192809488736,1.85451345665521,0.8,0
"rus_nfi_1288.txt","writing","teddi",2.92192809488736,1.78376158169127,0.8,0.5
"spa_nfi_586.txt","writing","teddi",3.12192809488736,1.93376158169127,0.9,0
"tur_nfi_1834.txt","writing","teddi",2.52192809488736,1.76414571055233,0.7,0
"ind_nfi_195.txt","writing","teddi",2.92192809488736,1.78376158169127,0.8,0
"heb_nfi_1289.txt","writing","teddi",3.12192809488736,1.8802421152967,0.9,0
"ell_nfi_455.txt","writing","teddi",3.12192809488736,2.04985798643564,0.9,0
"ell_nfi_502.txt","writing","teddi",3.12192809488736,1.85451345665521,0.9,0
"heb_nfi_1064.txt","writing","teddi",2.92192809488736,1.72060986139958,0.8,1
"fin_nfi_1466.txt","writing","teddi",2.92192809488736,1.75099399026064,0.8,0.5
"deu_nfi_1145.txt","writing","teddi",3.32192809488736,2.1791061114717,1,NA
"rus_nfi_1108.txt","writing","teddi",2.84643934467102,1.75099399026064,0.8,0
"ind_nfi_165.txt","writing","teddi",3.12192809488736,1.88376158169127,0.9,1
"fin_nfi_2378.txt","writing","teddi",3.12192809488736,1.98376158169127,0.9,1
"kor_nfi_761.txt","writing","teddi",2.92192809488736,1.82264196062445,0.8,0
"kor_nfi_22.txt","writing","teddi",3.32192809488736,2.02060986139958,1,NA
"fra_nfi_218.txt","writing","teddi",2.72192809488736,1.73841705191084,0.7,0.333333333333333
"jpn_nfi_1017.txt","writing","teddi",3.32192809488736,2.1791061114717,1,NA
"tur_nfi_592.txt","writing","teddi",3.12192809488736,1.90949024033276,0.9,0
"tur_nfi_255.txt","writing","teddi",2.64643934467102,1.77264196062445,0.7,0
"fin_nfi_1697.txt","writing","teddi",3.12192809488736,1.90451345665521,0.9,0
"kat_nfi_178.txt","writing","teddi",2.84643934467102,1.64807692911377,0.8,1
"tur_nfi_995.txt","writing","teddi",2.32192809488736,1.3946447005185,0.5,0
"fin_nfi_210.txt","writing","teddi",2.52192809488736,1.67264196062445,0.7,0.333333333333333
"spa_nfi_1051.txt","writing","teddi",3.12192809488736,1.88376158169127,0.9,0
"deu_nfi_295.txt","writing","teddi",2.92192809488736,1.75451345665521,0.8,0
"tha_nfi_681.txt","writing","teddi",2.92192809488736,1.86300970672733,0.8,0
"deu_nfi_45.txt","writing","teddi",2.64643934467102,1.65031112724304,0.7,0
"eng_nfi_7.txt","writing","teddi",2.12192809488736,1.12284485449717,0.5,0
"kor_nfi_527.txt","writing","teddi",3.32192809488736,1.93376158169127,1,NA
"vie_nfi_270.txt","writing","teddi",2.92192809488736,1.77060986139958,0.8,0
"wba_nfi_1.txt","writing","teddi",2.64643934467102,1.6176651769469,0.7,0
"heb_nfi_1151.txt","writing","teddi",2.92192809488736,1.96300970672733,0.8,0.5
"ind_nfi_726.txt","writing","teddi",3.12192809488736,1.8802421152967,0.9,0
"tur_nfi_563.txt","writing","teddi",2.92192809488736,1.67243324826178,0.8,0
"ell_fic_85.txt","writing","teddi",2.92192809488736,1.72526533161915,0.8,0
"ell_nfi_1233.txt","writing","teddi",2.92192809488736,1.75949024033276,0.8,0
"tur_nfi_1856.txt","writing","teddi",2.92192809488736,1.92264196062445,0.8,0
"ell_nfi_1326.txt","writing","teddi",3.12192809488736,1.87060986139958,0.9,0
"fin_nfi_2082.txt","writing","teddi",2.92192809488736,1.81300970672733,0.8,0
"rus_nfi_1009.txt","writing","teddi",2.92192809488736,1.78376158169127,0.8,0.5
"fra_nfi_123.txt","writing","teddi",2.92192809488736,1.72526533161915,0.8,0
"tur_nfi_1872.txt","writing","teddi",3.12192809488736,1.87264196062445,0.9,0
"eng_nfi_18.txt","writing","teddi",3.32192809488736,2.1791061114717,1,NA
"tur_nfi_1155.txt","writing","teddi",2.64643934467102,1.68489758551627,0.7,0.333333333333333
"spa_nfi_962.txt","writing","teddi",3.12192809488736,1.86300970672733,0.9,0
