"filename","subcorpus","code","huni.chars","hrate.chars","ttr.chars","rm.chars"
"random_ran_10","random","ran_10",3.31617083626537,2.93214541388137,0.01,0.101010101010101
"random_ran_11","random","ran_11",3.44791420453699,2.99928041052955,0.011,0.109201213346815
"random_ran_12","random","ran_12",3.5760528633835,3.06402886940233,0.012,0.090080971659919
"random_ran_13","random","ran_13",3.6932327802063,3.0815768869114,0.013,0.0871327254305978
"random_ran_14","random","ran_14",3.79765212850385,3.1557602204367,0.014,0.0720081135902637
"random_ran_15","random","ran_15",3.90240073132199,3.17885369749321,0.015,0.065989847715736
"random_ran_16","random","ran_16",3.99153284707049,3.23105073139699,0.016,0.0599593495934959
"random_ran_17","random","ran_17",4.07961539480609,3.26607800722213,0.017,0.0661241098677518
"random_ran_18","random","ran_18",4.16184944740067,3.31975240639481,0.018,0.0692464358452139
"random_ran_19","random","ran_19",4.23023888975198,3.34662728974284,0.019,0.0489296636085627
"random_ran_2","random","ran_2",0.99971144175281,3.14690115544217,0.002,0.48997995991984
"random_ran_20","random","ran_20",4.30348527453448,3.3715126053872,0.02,0.05
"random_ran_21","random","ran_21",4.38353094669677,3.43141430270562,0.021,0.0449438202247191
"random_ran_22","random","ran_22",4.44619046159155,3.50729953830064,0.022,0.0449897750511247
"random_ran_23","random","ran_23",4.51144763034958,3.51504682815727,0.023,0.0460593654042989
"random_ran_24","random","ran_24",4.56944289398725,3.56539007910758,0.024,0.0430327868852459
"random_ran_25","random","ran_25",4.62894742704288,3.55684983189305,0.025,0.0338461538461538
"random_ran_26","random","ran_26",4.67932525306915,3.62235653222136,0.026,0.0492813141683778
"random_ran_27","random","ran_27",4.73861032478681,3.6709663184667,0.027,0.025693730729702
"random_ran_28","random","ran_28",4.78464152302092,3.67123988773619,0.028,0.0349794238683128
"random_ran_29","random","ran_29",4.83425808912845,3.73535621557396,0.029,0.0411946446961895
"random_ran_3","random","ran_3",1.58369093725177,3.0287045355398,0.003,0.310932798395186
"random_ran_30","random","ran_30",4.89042903410982,3.75724007925919,0.03,0.0360824742268041
"random_ran_31","random","ran_31",4.93826507185945,3.7613389037345,0.031,0.0381836945304438
"random_ran_32","random","ran_32",4.97215368936569,3.77948917362199,0.032,0.0268595041322314
"random_ran_33","random","ran_33",5.01713204048958,3.82147658775777,0.033,0.0289555325749741
"random_ran_34","random","ran_34",5.05692475999101,3.84551164638828,0.034,0.0320910973084886
"random_ran_35","random","ran_35",5.11017843226573,3.8798505224843,0.035,0.0269430051813472
"random_ran_36","random","ran_36",5.14793452092518,3.89684441047611,0.036,0.0342323651452282
"random_ran_37","random","ran_37",5.18384441121026,3.92996060787749,0.037,0.0311526479750779
"random_ran_38","random","ran_38",5.20690623746822,3.94265278017521,0.038,0.0228690228690229
"random_ran_39","random","ran_39",5.26747225293561,3.99070262688116,0.039,0.0301768990634755
"random_ran_4","random","ran_4",1.99777148632612,2.96067225858809,0.004,0.246987951807229
"random_ran_40","random","ran_40",5.28943453099493,3.97052335583136,0.04,0.028125
"random_ran_41","random","ran_41",5.33115078686777,3.96330740544761,0.041,0.0291970802919708
"random_ran_42","random","ran_42",5.35598527145893,3.99664253840258,0.042,0.0219206680584551
"random_ran_43","random","ran_43",5.39394918333213,4.0225622013078,0.043,0.0261233019853709
"random_ran_44","random","ran_44",5.43560616765658,4.0655547812582,0.044,0.0198744769874477
"random_ran_45","random","ran_45",5.45625744079628,4.06198349713006,0.045,0.0230366492146597
"random_ran_46","random","ran_46",5.47689361967602,4.08817872138139,0.046,0.0188679245283019
"random_ran_47","random","ran_47",5.52082897107703,4.0523703812118,0.047,0.0230849947534103
"random_ran_48","random","ran_48",5.54595530146648,4.0742207454199,0.048,0.0189075630252101
"random_ran_5","random","ran_5",2.31655500123418,2.84027087740387,0.005,0.179899497487437
"random_ran_6","random","ran_6",2.57803992261956,2.76966360272661,0.006,0.175050301810865
"random_ran_7","random","ran_7",2.80254214570448,2.78823556160686,0.007,0.138972809667674
"random_ran_8","random","ran_8",2.99678788856939,2.91725174696214,0.008,0.132056451612903
"random_ran_9","random","ran_9",3.1647948875154,2.97555108032388,0.009,0.0998990918264379
"shuffled_aii_0001","shuffled","aii_0001",4.10129873102934,3.69886868320884,0.031,0.0784313725490196
"shuffled_akk_0001","shuffled","akk_0001",3.70537070599063,4.77295709197867,0.031,0.113519091847265
"shuffled_akk_0002","shuffled","akk_0002",4.2931952243987,4.34160387332226,0.032,0.0702479338842975
"shuffled_arb_0001","shuffled","arb_0001",4.29785623733224,3.67356680372177,0.039,0.0863683662851197
"shuffled_azj_0001","shuffled","azj_0001",4.40299613871395,3.7496598432878,0.042,0.0594989561586639
"shuffled_azj_0002","shuffled","azj_0002",4.40299613871395,3.72797937843368,0.042,0.0532359081419624
"shuffled_ben_0001","shuffled","ben_0001",4.77697058162774,4.41214774461748,0.054,0.06553911205074
"shuffled_bhg_0001","shuffled","bhg_0001",3.52535929531652,3.60898281350805,0.0261437908496732,0.167785234899329
"shuffled_bhg_0002","shuffled","bhg_0002",3.23212088671477,3.18022518718683,0.0772058823529412,0.171314741035857
"shuffled_bhg_0003","shuffled","bhg_0003",3.53768110124855,3.6584644287001,0.0340599455040872,0.132581100141044
"shuffled_bhg_0004","shuffled","bhg_0004",3.1492983424814,3.18194364842445,0.0557184750733138,0.198757763975155
"shuffled_bhg_0005","shuffled","bhg_0005",3.43472598577664,3.01882975959696,0.120879120879121,0.18125
"shuffled_bhg_0006","shuffled","bhg_0006",2.97153699067622,3.59375911157296,0.027,0.234326824254882
