"filename","corpus","subcorpus","huni.chars","hrate.chars","ttr.chars","rm.chars"
"animal_bhg_0001.txt","non-writing","animal",3.52535929531652,3.64945133795142,0.0261437908496732,0.00134228187919463
"animal_bhg_0002.txt","non-writing","animal",3.23212088671477,3.20036976335456,0.0772058823529412,0.0318725099601594
"animal_bhg_0003.txt","non-writing","animal",3.53768110124855,3.68575666389808,0.0340599455040872,0
"animal_bhg_0004.txt","non-writing","animal",3.1492983424814,3.25265878354892,0.0557184750733138,0.0279503105590062
"animal_bhg_0005.txt","non-writing","animal",3.43472598577664,3.08225418212213,0.120879120879121,0.0125
"animal_bhg_0006.txt","non-writing","animal",2.97153699067622,3.9030948855441,0.027,0.0544707091469681
"animal_bhg_0007.txt","non-writing","animal",3.55012555440924,3.94098370445341,0.027,0.0174717368961973
"animal_bhg_0008.txt","non-writing","animal",3.56005431396736,3.91525330398219,0.0271356783919598,0.0185950413223141
"animal_bhg_0009.txt","non-writing","animal",3.22050070195741,3.04365092903996,0.0892018779342723,0.0103092783505155
"animal_bhg_0010.txt","non-writing","animal",3.28594520575174,3.4231273632045,0.0516431924882629,0.0173267326732673
"animal_cad_0001.txt","non-writing","animal",2.12521276604129,1.83305845670892,0.166666666666667,0.366666666666667
"animal_cad_0002.txt","non-writing","animal",1.79306201746892,1.20920627145212,0.0264900662251656,0.727891156462585
"animal_cav_0001.txt","non-writing","animal",3.2646992281262,3.42804216873848,0.0515970515970516,0.0155440414507772
"animal_cav_0002.txt","non-writing","animal",3.57816345331826,3.64305967042113,0.0345911949685535,0
"animal_cav_0003.txt","non-writing","animal",3.10633459526341,2.89011824198097,0.0909090909090909,0.0125
"animal_cav_0004.txt","non-writing","animal",2.72778069915238,2.09935414717917,0.434782608695652,0.153846153846154
"animal_cav_0005.txt","non-writing","animal",3.00015361670325,2.96154944789514,0.0898203592814371,0
"animal_cav_0006.txt","non-writing","animal",2.39833017338917,2.51132878039487,0.0603448275862069,0
"animal_cav_0007.txt","non-writing","animal",2.69919834670499,1.97558937806846,0.25,0
"animal_cav_0008.txt","non-writing","animal",3.20267008100952,2.99386325408243,0.111801242236025,0.027972027972028
"animal_cav_0009.txt","non-writing","animal",3.25420765172968,2.85579482367685,0.146551724137931,0.0303030303030303
"animal_cth_0001.txt","non-writing","animal",2.91111043393582,2.78304426559452,0.0418118466898955,0
"animal_cth_0002.txt","non-writing","animal",3.05345342439778,3.39381813519496,0.0287026406429392,0.00118203309692671
"animal_cth_0003.txt","non-writing","animal",2.76425473934598,2.87744967882651,0.0332480818414322,0.0502645502645503
"animal_cth_0004.txt","non-writing","animal",2.85637787100669,3.28951962322338,0.0205391527599487,0.0209698558322412
"animal_cth_0005.txt","non-writing","animal",3.43620895659008,3.5659877699369,0.027,0.00719424460431655
"animal_cth_0006.txt","non-writing","animal",3.0785519701147,3.32713910547364,0.0444078947368421,0.0206540447504303
"animal_cth_0007.txt","non-writing","animal",3.21165894559233,3.2538412677472,0.0446428571428571,0.0242990654205607
"animal_cth_0008.txt","non-writing","animal",3.19126980917014,3.49629310085667,0.026,0.00924024640657084
"animal_cth_0009.txt","non-writing","animal",3.29437281999069,3.47287923666025,0.025,0.0112820512820513
"animal_cth_0010.txt","non-writing","animal",3.38165319734825,3.46428815756023,0.024,0.00409836065573771
"animal_cth_0011.txt","non-writing","animal",3.35819967604223,3.30852845079463,0.043046357615894,0.0121107266435986
"animal_zfi_0001.txt","non-writing","animal",2.62974932938785,2.46634522777811,0.290322580645161,0
"heraldics_bla_0001.txt","non-writing","heraldics",4.41486437711692,3.51839623963459,0.037,0.0114226375908619
"heraldics_bla_0002.txt","non-writing","heraldics",4.39579795595591,3.41321901081908,0.045,0.0261780104712042
"morse_moc_0001.txt","non-writing","morse",1.83626021876937,3.53418029208409,0.006,0.212273641851107
"morse_moc_0002.txt","non-writing","morse",1.72467280168525,3.41954774811513,0.004,0.194779116465863
"morse_moc_0003.txt","non-writing","morse",1.76170184202163,2.52953786685394,0.0228571428571429,0.198830409356725
"natural_dna_0001.txt","non-writing","natural",1.82026384818355,1.55854193085524,0.004,0.331325301204819
"natural_dna_0002.txt","non-writing","natural",1.9883451831728,1.67520770042058,0.004,0.241967871485944
"natural_dna_0003.txt","non-writing","natural",2.22519399721501,0.899049004201795,0.005,0.543718592964824
"natural_dna_0004.txt","non-writing","natural",1.96140092035339,1.66513216198309,0.004,0.252008032128514
"natural_dna_0005.txt","non-writing","natural",1.99237704454794,1.49981503946379,0.004,0.31425702811245
"natural_dna_0006.txt","non-writing","natural",1.95747682918281,1.26483997060967,0.004,0.312248995983936
"natural_dna_0007.txt","non-writing","natural",1.94133553109981,1.29043304223694,0.004,0.289156626506024
"natural_dna_0008.txt","non-writing","natural",1.52052053799457,0.980688930028677,0.004,0.572289156626506
"natural_dna_0009.txt","non-writing","natural",1.95325112032496,1.63230996515311,0.004,0.295180722891566
"natural_dna_0010.txt","non-writing","natural",1.9777094557227,1.65612605142363,0.004,0.279116465863454
"natural_dna_0011.txt","non-writing","natural",2.24663941356707,1.03638390953159,0.005,0.37286432160804
"natural_dna_0012.txt","non-writing","natural",1.99330215517307,1.67084901051822,0.004,0.30421686746988
"natural_dna_0013.txt","non-writing","natural",1.96791758464415,1.6566798531983,0.004,0.232931726907631
"natural_dna_0014.txt","non-writing","natural",1.93121669985123,1.64494067192794,0.004,0.303212851405622
"natural_dna_0015.txt","non-writing","natural",1.93715397340644,1.60921076612216,0.004,0.257028112449799
