"k","accuracy","precision","recall","f1"
1,0.92,0.91,0.92,0.91
2,0.91,0.91,0.9,0.9
3,0.93,0.94,0.92,0.93
4,0.93,0.93,0.93,0.93
5,0.94,0.94,0.93,0.93
6,0.93,0.92,0.93,0.93
7,0.93,0.93,0.93,0.93
8,0.93,0.93,0.92,0.93
9,0.93,0.93,0.92,0.93
10,0.93,0.93,0.93,0.93
