"k","accuracy","precision","recall","f1"
1,0.91,0.89,0.92,0.9
2,0.91,0.89,0.91,0.9
3,0.93,0.91,0.92,0.92
4,0.93,0.92,0.92,0.92
5,0.92,0.91,0.91,0.91
6,0.93,0.92,0.92,0.92
7,0.93,0.92,0.92,0.92
8,0.93,0.92,0.92,0.92
9,0.93,0.92,0.91,0.92
10,0.92,0.91,0.91,0.91
