"k","accuracy","precision","recall","f1"
1,0.92,0.92,0.89,0.9
2,0.91,0.9,0.86,0.88
3,0.92,0.93,0.87,0.9
4,0.93,0.94,0.89,0.91
5,0.94,0.95,0.89,0.92
6,0.94,0.95,0.9,0.92
7,0.94,0.96,0.89,0.92
8,0.93,0.95,0.87,0.91
9,0.93,0.95,0.88,0.91
10,0.93,0.94,0.88,0.91
