"k","accuracy","precision","recall","f1"
1,0.97,0.96,0.97,0.96
2,0.97,0.95,0.96,0.96
3,0.98,0.96,0.97,0.97
4,0.97,0.95,0.98,0.97
5,0.98,0.96,0.97,0.97
6,0.97,0.96,0.97,0.96
7,0.97,0.96,0.97,0.97
8,0.97,0.95,0.97,0.96
9,0.97,0.95,0.97,0.96
10,0.97,0.96,0.97,0.97
