"k","accuracy","precision","recall","f1"
1,0.69,0.83,0.46,0.59
2,0.69,0.83,0.46,0.59
3,0.69,0.83,0.46,0.59
4,0.69,0.83,0.46,0.59
5,0.69,0.83,0.46,0.59
6,0.69,0.83,0.46,0.59
7,0.69,0.83,0.46,0.59
8,0.69,0.83,0.46,0.59
9,0.69,0.83,0.46,0.59
10,0.69,0.83,0.46,0.59
