"k","accuracy","precision","recall","f1"
1,0.91,0.92,0.93,0.93
2,0.91,0.93,0.92,0.92
3,0.93,0.95,0.93,0.94
4,0.93,0.93,0.94,0.94
5,0.93,0.94,0.94,0.94
6,0.93,0.94,0.94,0.94
7,0.93,0.94,0.94,0.94
8,0.93,0.94,0.94,0.94
9,0.93,0.94,0.94,0.94
10,0.93,0.94,0.94,0.94
