"k","accuracy","precision","recall","f1"
1,0.86,0.71,0.71,0.71
2,0.87,0.75,0.71,0.73
3,0.91,0.93,0.7,0.8
4,0.91,0.92,0.69,0.79
5,0.92,0.98,0.69,0.81
6,0.92,0.97,0.69,0.8
7,0.92,0.99,0.69,0.81
8,0.92,1,0.69,0.82
9,0.92,1,0.69,0.82
10,0.92,0.99,0.69,0.81
