"k","accuracy","precision","recall","f1"
1,0.69,0.89,0.48,0.63
2,0.69,0.89,0.48,0.63
3,0.69,0.89,0.48,0.63
4,0.69,0.89,0.48,0.63
5,0.69,0.89,0.48,0.63
6,0.69,0.89,0.48,0.63
7,0.69,0.89,0.48,0.63
8,0.69,0.89,0.48,0.63
9,0.69,0.89,0.48,0.63
10,0.69,0.89,0.48,0.63
