"k","accuracy","precision","recall","f1"
1,0.88,0.86,0.86,0.86
2,0.88,0.86,0.86,0.86
3,0.9,0.9,0.87,0.88
4,0.9,0.91,0.87,0.89
5,0.89,0.89,0.86,0.88
6,0.89,0.9,0.85,0.87
7,0.89,0.89,0.84,0.86
8,0.88,0.89,0.83,0.86
9,0.89,0.9,0.85,0.87
10,0.9,0.9,0.85,0.88
