"k","accuracy","precision","recall","f1"
1,0.89,0.89,0.88,0.88
2,0.89,0.89,0.88,0.89
3,0.91,0.91,0.9,0.9
4,0.9,0.9,0.9,0.9
5,0.91,0.92,0.9,0.91
6,0.91,0.92,0.89,0.91
7,0.9,0.91,0.9,0.9
8,0.91,0.91,0.9,0.91
9,0.91,0.91,0.89,0.9
10,0.91,0.93,0.9,0.91
