"k","accuracy","precision","recall","f1"
1,0.96,0.92,0.92,0.92
2,0.97,0.94,0.94,0.94
3,0.97,0.97,0.9,0.93
4,0.97,0.98,0.9,0.94
5,0.98,0.98,0.91,0.95
6,0.97,0.98,0.91,0.94
7,0.98,0.98,0.92,0.95
8,0.97,0.99,0.9,0.94
9,0.96,0.98,0.87,0.92
10,0.96,0.98,0.86,0.92
