"k","accuracy","precision","recall","f1"
1,0.94,0.92,0.93,0.92
2,0.94,0.94,0.92,0.93
3,0.96,0.97,0.93,0.95
4,0.95,0.96,0.93,0.94
5,0.95,0.97,0.92,0.94
6,0.95,0.96,0.92,0.94
7,0.95,0.96,0.92,0.94
8,0.95,0.95,0.91,0.93
9,0.95,0.96,0.92,0.94
10,0.95,0.95,0.92,0.94
