"k","accuracy","precision","recall","f1"
1,0.95,0.97,0.8,0.88
2,0.94,0.97,0.79,0.87
3,0.95,0.98,0.79,0.88
4,0.94,0.97,0.79,0.87
5,0.95,0.99,0.79,0.88
6,0.95,0.99,0.79,0.88
7,0.95,0.99,0.79,0.88
8,0.95,0.98,0.8,0.88
9,0.95,0.98,0.8,0.88
10,0.94,0.96,0.8,0.87
