"k","accuracy","precision","recall","f1"
1,0.85,0.71,0.7,0.7
2,0.85,0.7,0.69,0.69
3,0.91,0.98,0.67,0.79
4,0.91,0.97,0.66,0.78
5,0.92,1,0.67,0.8
6,0.92,0.99,0.67,0.8
7,0.92,1,0.67,0.8
8,0.92,1,0.66,0.79
9,0.92,1,0.67,0.8
10,0.91,0.97,0.66,0.78
