"k","accuracy","precision","recall","f1"
1,0.82,0.82,0.79,0.81
2,0.83,0.83,0.8,0.82
3,0.83,0.83,0.82,0.83
4,0.82,0.83,0.79,0.81
5,0.83,0.83,0.81,0.82
6,0.84,0.83,0.82,0.83
7,0.83,0.83,0.81,0.82
8,0.83,0.83,0.82,0.82
9,0.83,0.83,0.81,0.82
10,0.84,0.84,0.82,0.83
