"k","accuracy","precision","recall","f1"
1,0.88,0.88,0.88,0.88
2,0.87,0.88,0.88,0.88
3,0.9,0.91,0.88,0.89
4,0.89,0.91,0.87,0.89
5,0.9,0.91,0.88,0.9
6,0.9,0.91,0.88,0.9
7,0.91,0.93,0.89,0.91
8,0.91,0.93,0.89,0.91
9,0.9,0.92,0.89,0.9
10,0.9,0.92,0.89,0.9
