"k","accuracy","precision","recall","f1"
1,0.89,0.88,0.92,0.9
2,0.88,0.87,0.9,0.88
3,0.91,0.91,0.91,0.91
4,0.9,0.9,0.9,0.9
5,0.92,0.92,0.91,0.92
6,0.9,0.91,0.9,0.9
7,0.91,0.92,0.91,0.91
8,0.91,0.92,0.91,0.91
9,0.92,0.92,0.91,0.92
10,0.92,0.92,0.92,0.92
