"k","accuracy","precision","recall","f1"
1,0.98,0.45,0.5,0.48
2,0.98,0.4,0.4,0.4
3,0.98,0.5,0.4,0.44
4,0.98,0.62,0.5,0.56
5,0.99,0.8,0.4,0.53
6,0.98,0.62,0.5,0.56
7,0.98,0.56,0.5,0.53
8,0.98,0.62,0.5,0.56
9,0.99,0.71,0.5,0.59
10,0.98,0.57,0.4,0.47
