"k","accuracy","precision","recall","f1"
1,0.88,0.84,0.9,0.87
2,0.88,0.85,0.89,0.87
3,0.9,0.87,0.9,0.89
4,0.89,0.87,0.89,0.88
5,0.9,0.88,0.9,0.89
6,0.9,0.87,0.9,0.88
7,0.9,0.88,0.9,0.89
8,0.9,0.87,0.9,0.88
9,0.9,0.88,0.9,0.89
10,0.9,0.87,0.9,0.89
