"k","accuracy","precision","recall","f1"
1,0.89,0.87,0.91,0.89
2,0.87,0.86,0.88,0.87
3,0.91,0.91,0.91,0.91
4,0.91,0.92,0.9,0.91
5,0.92,0.92,0.9,0.91
6,0.91,0.92,0.9,0.91
7,0.92,0.93,0.9,0.91
8,0.92,0.92,0.9,0.91
9,0.92,0.93,0.91,0.92
10,0.92,0.92,0.91,0.92
