"k","accuracy","precision","recall","f1"
1,0.92,0.92,0.75,0.83
2,0.92,0.93,0.74,0.83
3,0.92,0.92,0.74,0.82
4,0.93,0.94,0.75,0.83
5,0.93,0.95,0.74,0.83
6,0.92,0.94,0.74,0.83
7,0.93,0.97,0.72,0.83
8,0.92,0.97,0.71,0.82
9,0.92,0.97,0.71,0.82
10,0.92,0.98,0.7,0.81
