"k","accuracy","precision","recall","f1"
1,0.93,0.96,0.96,0.96
2,0.93,0.95,0.96,0.95
3,0.94,0.96,0.97,0.96
4,0.94,0.96,0.96,0.96
5,0.95,0.97,0.97,0.97
6,0.94,0.96,0.96,0.96
7,0.95,0.97,0.97,0.97
8,0.96,0.97,0.97,0.97
9,0.95,0.96,0.97,0.96
10,0.94,0.96,0.97,0.96
