"k","accuracy","precision","recall","f1"
1,0.62,0.62,0.63,0.63
2,0.64,0.64,0.65,0.64
3,0.67,0.68,0.65,0.66
4,0.66,0.66,0.64,0.65
5,0.66,0.67,0.64,0.66
6,0.66,0.67,0.63,0.65
7,0.67,0.69,0.63,0.66
8,0.69,0.71,0.63,0.67
9,0.68,0.7,0.62,0.66
10,0.69,0.71,0.64,0.67
