"k","accuracy","precision","recall","f1"
1,0.89,0.88,0.91,0.89
2,0.88,0.87,0.88,0.88
3,0.91,0.9,0.91,0.9
4,0.91,0.9,0.92,0.91
5,0.91,0.91,0.91,0.91
6,0.91,0.91,0.91,0.91
7,0.91,0.9,0.92,0.91
8,0.91,0.9,0.91,0.9
9,0.91,0.9,0.91,0.91
10,0.9,0.9,0.9,0.9
