"k","accuracy","precision","recall","f1"
1,0.58,0.59,0.6,0.59
2,0.59,0.59,0.6,0.6
3,0.61,0.62,0.6,0.61
4,0.6,0.61,0.6,0.6
5,0.61,0.63,0.58,0.61
6,0.6,0.61,0.58,0.6
7,0.62,0.64,0.58,0.61
8,0.62,0.63,0.58,0.61
9,0.61,0.63,0.57,0.6
10,0.61,0.63,0.57,0.6
