"k","accuracy","precision","recall","f1"
1,0.88,0.88,0.86,0.87
2,0.87,0.87,0.85,0.86
3,0.91,0.92,0.89,0.9
4,0.9,0.91,0.88,0.89
5,0.9,0.91,0.88,0.89
6,0.89,0.9,0.88,0.89
7,0.9,0.91,0.88,0.89
8,0.9,0.91,0.88,0.89
9,0.9,0.92,0.87,0.9
10,0.9,0.92,0.87,0.89
