"k","accuracy","precision","recall","f1"
1,0.69,0.72,0.68,0.7
2,0.7,0.73,0.69,0.71
3,0.7,0.73,0.7,0.72
4,0.71,0.73,0.7,0.72
5,0.71,0.73,0.71,0.72
6,0.71,0.73,0.72,0.73
7,0.71,0.73,0.71,0.72
8,0.7,0.72,0.7,0.71
9,0.7,0.72,0.72,0.72
10,0.7,0.71,0.72,0.72
