"k","accuracy","precision","recall","f1"
1,0.71,0.78,0.58,0.66
2,0.71,0.79,0.57,0.66
3,0.71,0.78,0.58,0.67
4,0.71,0.79,0.58,0.67
5,0.71,0.79,0.57,0.66
6,0.71,0.79,0.57,0.66
7,0.71,0.79,0.57,0.66
8,0.71,0.78,0.57,0.66
9,0.71,0.78,0.57,0.66
10,0.71,0.78,0.57,0.66
