"k","accuracy","precision","recall","f1"
1,0.79,0.79,0.8,0.79
2,0.79,0.79,0.8,0.79
3,0.81,0.8,0.83,0.82
4,0.81,0.8,0.84,0.82
5,0.81,0.8,0.84,0.82
6,0.82,0.8,0.84,0.82
7,0.82,0.8,0.86,0.83
8,0.82,0.8,0.85,0.83
9,0.82,0.8,0.87,0.83
10,0.82,0.8,0.87,0.83
