"k","accuracy","precision","recall","f1"
1,0.88,0.88,0.92,0.9
2,0.88,0.89,0.91,0.9
3,0.9,0.91,0.93,0.92
4,0.9,0.91,0.91,0.91
5,0.91,0.92,0.93,0.93
6,0.9,0.91,0.93,0.92
7,0.9,0.91,0.93,0.92
8,0.91,0.91,0.93,0.92
9,0.92,0.92,0.94,0.93
10,0.91,0.92,0.93,0.93
