"k","accuracy","precision","recall","f1"
1,0.78,0.78,0.77,0.78
2,0.78,0.78,0.77,0.78
3,0.78,0.78,0.77,0.78
4,0.78,0.78,0.77,0.78
5,0.78,0.78,0.77,0.78
6,0.78,0.78,0.77,0.78
7,0.78,0.78,0.77,0.78
8,0.78,0.78,0.77,0.78
9,0.78,0.78,0.77,0.78
10,0.78,0.78,0.77,0.78
