"num.char","hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","accuracy","precision","recall","f1"
10,"4,1,2",7,3,"sse","tanh","backprop",0.49,NA,0,NA
10,"1",1,1,"sse","tanh","backprop",0.49,NA,0,NA
10,"1,4",5,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"2,4,3",9,3,"sse","tanh","backprop",0.48,0.44,0.13,0.2
10,"5",5,1,"sse","tanh","backprop",0.29,0.36,0.5,0.42
10,"5,1,4,3",13,4,"sse","tanh","backprop",0.51,0.51,1,0.67
10,"4,2",6,2,"sse","tanh","backprop",0.53,0.52,0.88,0.65
10,"2,4,4",10,3,"sse","tanh","backprop",0.51,0.51,1,0.67
10,"2,2",4,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"3,4,3,2",12,4,"sse","tanh","backprop",0.51,0.51,1,0.67
10,"1,4,1",6,3,"sse","tanh","backprop",0.49,NA,0,NA
10,"2,3",5,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"3,4",7,2,"sse","tanh","backprop",0.51,0.51,0.9,0.65
10,"1,1,3",5,3,"sse","tanh","backprop",0.51,0.51,1,0.67
10,"5,2,2,1",10,4,"sse","tanh","backprop",0.49,NA,0,NA
10,"1,2,5",8,3,"sse","tanh","backprop",0.49,NA,0,NA
