"filename","subcorpus","code","huni.chars","hrate.chars","huni.strings","hrate.strings","ttr.chars","ttr.strings","rm.chars"
"random_ran_10","random","ran_10",3.2718888530635,2.51972851556999,6.12997872718319,4.8161290021407,0.1,0.89247311827957,0.155555555555556
"random_ran_11","random","ran_11",3.38208377807495,2.44405958249571,6.130416151741,4.77267916200335,0.11,0.888888888888889,0.168539325842697
"random_ran_12","random","ran_12",3.52601881250545,2.54032783178334,6.16856491268952,4.83365658894331,0.12,0.875,0.0909090909090909
"random_ran_13","random","ran_13",3.6785300969328,2.65003387921526,6.02643884482632,4.60423738546247,0.13,0.943661971830986,0.103448275862069
"random_ran_14","random","ran_14",3.69123576123616,2.61276765217718,5.99986181151642,4.62625666037136,0.14,0.932432432432432,0.0930232558139535
"random_ran_15","random","ran_15",3.8306038681711,2.63960801128386,5.84375,4.41075492218777,0.15,0.9375,0.0117647058823529
"random_ran_16","random","ran_16",3.94937491268204,2.72538462432535,5.87750457648101,4.45271190886613,0.16,0.967741935483871,0.0595238095238095
"random_ran_17","random","ran_17",3.99894853673246,2.77585786350199,5.60003991358552,4.23260658927241,0.17,0.928571428571429,0.0843373493975904
"random_ran_18","random","ran_18",4.10398347137264,2.83242358691997,5.66535159882685,4.35176948852656,0.18,0.904761904761905,0.0975609756097561
"random_ran_19","random","ran_19",4.15808256671481,2.80827801933079,5.6724253419715,4.25785975678908,0.19,1,0.0493827160493827
"random_ran_2","random","ran_2",0.99971144175281,2.10629482129466,1.90331069588427,1.63035114694141,0.02,0.06,0.469387755102041
"random_ran_20","random","ran_20",4.14250114215797,2.85969553017246,5.45342103248267,4.0484632119325,0.2,0.957446808510638,0.05
"random_ran_21","random","ran_21",4.28581900567307,2.89955956698997,5.48590234442608,4.08095199476171,0.21,0.958333333333333,0.0379746835443038
"random_ran_22","random","ran_22",4.34198616197044,2.97016529364326,5.6724253419715,4.31138359618748,0.22,1,0.0769230769230769
"random_ran_23","random","ran_23",4.42017641650487,2.96789174036897,5.03168708302644,3.73804854397472,0.23,0.9,0.025974025974026
"random_ran_24","random","ran_24",4.38188797079085,2.9697368497231,5.54875843973146,4.13474861656237,0.23,0.96,0.038961038961039
"random_ran_25","random","ran_25",4.49685303615067,3.00059277255221,5.03784479304888,3.68724025181433,0.25,0.944444444444444,0.0533333333333333
"random_ran_26","random","ran_26",4.38382169627087,3.05412138319523,5.1553993115749,3.76092372939978,0.25,0.972972972972973,0.0933333333333333
"random_ran_27","random","ran_27",4.50049831591667,3.00512462713779,5.12928301694497,3.79784010371183,0.25,1,0.04
"random_ran_28","random","ran_28",4.67991810101524,3.10386495782854,5.04439411935845,3.66072667608151,0.28,1,0.0138888888888889
"random_ran_29","random","ran_29",4.5087239462276,3.0756353101534,5.1227988949656,3.78517061143674,0.26,0.947368421052632,0.0945945945945946
"random_ran_3","random","ran_3",1.58481870497303,2.04557562077262,3.61982691942588,2.90184312167236,0.03,0.3,0.329896907216495
"random_ran_30","random","ran_30",4.50314494098158,3.02696240006963,5.52356195605701,4.16978305820221,0.26,1,0.0810810810810811
"random_ran_31","random","ran_31",4.69069381600321,3.13328861889636,4.78901547788619,3.39419101631869,0.29,0.96551724137931,0.0845070422535211
"random_ran_32","random","ran_32",4.77808091592308,3.16186064378738,4.85798099512757,3.48525727369125,0.31,1,0.0434782608695652
"random_ran_33","random","ran_33",4.81543429085817,3.25288206254006,4.39231742277876,3.11760482588976,0.32,1,0
"random_ran_34","random","ran_34",4.81113969542946,3.29657096366911,4.8073549220576,3.49800699111562,0.33,1,0.0298507462686567
"random_ran_35","random","ran_35",4.92259216570673,3.26447323993675,4.58496250072116,3.25156905912919,0.33,1,0.0447761194029851
"random_ran_36","random","ran_36",4.92762710034691,3.33221093484266,4.68081342808939,3.36817341177001,0.35,0.962962962962963,0.0153846153846154
"random_ran_37","random","ran_37",4.9223338502171,3.36002836688195,5.12928301694497,3.73149930100076,0.36,1,0.03125
"random_ran_38","random","ran_38",4.97517597536854,3.31657855806051,4.8073549220576,3.49800699111562,0.35,1,0.0153846153846154
"random_ran_39","random","ran_39",4.90007822532527,3.36207497890602,4.75488750216347,3.44951262330295,0.35,1,0.0153846153846154
"random_ran_4","random","ran_4",1.98316451663745,1.89792257202108,4.62760131151206,3.5858830489327,0.04,0.49,0.3125
"random_ran_40","random","ran_40",4.91088137993983,3.4106435811698,5,3.67697698913626,0.36,1,0.03125
"random_ran_41","random","ran_41",5.0233325049182,3.35163636344553,4.39231742277876,3.06232082363054,0.37,1,0.0317460317460317
"random_ran_42","random","ran_42",5.12107688002637,3.42677269232333,4.52356195605701,3.14821580425018,0.39,1,0.0655737704918033
"random_ran_43","random","ran_43",4.89195078619394,3.34124463734151,4.75488750216347,3.44951262330295,0.35,1,0.0769230769230769
"random_ran_44","random","ran_44",5.17252935030364,3.53830171224294,4.58496250072116,3.29323572579585,0.42,1,0.0517241379310345
"random_ran_45","random","ran_45",5.04746697603687,3.41604804588887,4.75488750216347,3.44951262330295,0.39,1,0.0983606557377049
"random_ran_46","random","ran_46",5.18330506529161,3.51245351813731,5.28540221886225,3.94454132639208,0.41,1,0.0169491525423729
"random_ran_47","random","ran_47",5.21617463006964,3.48175756266746,4,2.76563377936766,0.42,1,0.0517241379310345
"random_ran_48","random","ran_48",5.19678228459766,3.46746158075871,4,2.76563377936766,0.4,1,0.05
"random_ran_5","random","ran_5",2.29704595888579,2.10830790674266,5.25158707888688,4.17065458856318,0.05,0.63,0.189473684210526
