num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
1000,3,3,1,sse,logistic,rprop+,0.98,0.98,0.92,0.95
1000,"5,4,2",11,3,sse,logistic,rprop+,0.98,0.98,0.92,0.95
1000,"3,4",7,2,sse,logistic,rprop+,0.98,0.98,0.92,0.95
1000,"5,2,1",8,3,sse,logistic,rprop+,0.98,0.98,0.91,0.95
1000,3,3,1,sse,logistic,rprop+,0.98,0.98,0.91,0.95
1000,4,4,1,sse,logistic,rprop+,0.97,0.98,0.91,0.95
1000,3,3,1,sse,logistic,rprop+,0.97,0.98,0.91,0.95
1000,"4,3,4",11,3,sse,logistic,rprop+,0.97,0.98,0.91,0.95
1000,4,4,1,sse,logistic,rprop+,0.97,0.98,0.91,0.95
1000,"4,1,4,3",12,4,sse,logistic,rprop+,0.98,0.97,0.94,0.95
1000,"5,2",7,2,sse,logistic,rprop+,0.97,0.98,0.91,0.95
1000,"5,1",6,2,sse,logistic,rprop+,0.98,0.98,0.91,0.95
1000,"4,2,3,2",11,4,sse,logistic,rprop+,0.98,0.98,0.91,0.95
1000,"3,3,2",8,3,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,"5,2,4",11,3,sse,logistic,rprop+,0.97,0.97,0.91,0.94
1000,"3,1,1",5,3,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,"4,2",6,2,sse,logistic,rprop+,0.97,0.98,0.9,0.94
1000,"4,4,4,3",15,4,sse,logistic,rprop+,0.97,0.98,0.91,0.94
1000,"5,2,3",10,3,sse,logistic,rprop+,0.97,0.97,0.91,0.94
1000,"4,4",8,2,sse,logistic,rprop+,0.97,0.97,0.91,0.94
1000,"3,3,1",7,3,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,"4,4",8,2,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,"4,4,4",12,3,sse,logistic,rprop+,0.97,0.99,0.89,0.94
1000,"5,4,3,2",14,4,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,"4,4",8,2,sse,logistic,rprop+,0.97,0.98,0.91,0.94
1000,"5,1,4",10,3,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,3,3,1,sse,logistic,rprop+,0.97,0.98,0.9,0.94
1000,5,5,1,sse,logistic,rprop+,0.97,0.98,0.9,0.94
1000,"3,2,2",7,3,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,"4,3,3,4",14,4,sse,logistic,rprop+,0.97,0.98,0.91,0.94
1000,"4,3",7,2,sse,logistic,rprop+,0.97,0.97,0.91,0.94
1000,"3,2",5,2,sse,logistic,rprop+,0.97,0.98,0.9,0.94
1000,"5,3,2",10,3,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,"4,5,2",11,3,sse,logistic,rprop+,0.97,0.98,0.9,0.94
1000,"4,5,4,4",17,4,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,"4,1",5,2,sse,logistic,rprop+,0.97,0.98,0.91,0.94
1000,"5,3",8,2,sse,logistic,rprop+,0.97,0.98,0.9,0.94
1000,"5,4",9,2,sse,logistic,rprop+,0.97,0.98,0.89,0.94
1000,"5,3,1",9,3,sse,logistic,rprop+,0.97,0.98,0.89,0.93
1000,"5,4,4,5",18,4,sse,logistic,rprop+,0.97,0.98,0.89,0.93
1000,"3,2",5,2,sse,logistic,rprop+,0.97,0.98,0.89,0.93
