num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
100,"3,5,4",12,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,3,2",8,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,1,1",5,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,1",3,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"4,4,4,3",15,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"5,4,4,5",18,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,5",6,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,1,1,1,sse,relu,rprop+,0.5,0.5,1,0.67
100,"4,4",8,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,1,1,1",5,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,2",4,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,4",7,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,4",6,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"5,4,3,2",14,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,1,1,5",9,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"5,2,1",8,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,3,2,4",11,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,2",3,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,3,5,4",15,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"4,4",8,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,4,3,4",13,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,1,4,3",9,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,2",3,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,2,5",9,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,3,4,3",13,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,2",4,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,2,1",4,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,3,2,1",9,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,1",2,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,4,2,3",11,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,3,3",9,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,5,3,4",13,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,3,2",7,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,2",5,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,3,2",8,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,2,4,1",10,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"4,5,2",11,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,4,4,1,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,2,2",5,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"4,1,4,3",12,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"5,1",6,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"5,1,4",10,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"5,3",8,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,4",7,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,2,2,1,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,1",3,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"5,4",9,2,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,3,2",7,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,2,3,2",8,4,sse,relu,rprop+,0.5,0.5,1,0.67
100,"3,5,3",11,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,4,3",8,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"1,4,4",9,3,sse,relu,rprop+,0.5,0.5,1,0.67
100,"2,2",4,2,sse,relu,rprop+,0.8,0.86,0.71,0.78
100,"1,3,3",7,3,sse,relu,rprop+,0.79,0.83,0.74,0.78
100,"3,4,3",10,3,sse,relu,rprop+,0.8,0.82,0.76,0.79
100,1,1,1,sse,relu,rprop+,0.79,0.82,0.75,0.79
100,2,2,1,sse,relu,rprop+,0.86,0.85,0.88,0.87
100,3,3,1,sse,relu,rprop+,0.87,0.87,0.87,0.87
100,"2,1",3,2,sse,relu,rprop+,0.86,0.85,0.88,0.87
