num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
100,"4,1",5,2,ce,logistic,rprop+,0.92,0.93,0.91,0.92
100,4,4,1,ce,logistic,rprop+,0.92,0.91,0.93,0.92
100,"5,1",6,2,ce,logistic,rprop+,0.92,0.93,0.91,0.92
100,"5,3",8,2,ce,logistic,rprop+,0.92,0.91,0.92,0.92
100,"4,2",6,2,ce,logistic,rprop+,0.91,0.91,0.9,0.91
100,"3,2",5,2,ce,logistic,rprop+,0.9,0.9,0.91,0.91
100,"3,4",7,2,ce,logistic,rprop+,0.91,0.92,0.9,0.91
100,5,5,1,ce,logistic,rprop+,0.91,0.9,0.91,0.91
100,"3,2,2",7,3,ce,logistic,rprop+,0.91,0.9,0.91,0.91
100,4,4,1,ce,logistic,rprop+,0.9,0.9,0.89,0.9
100,3,3,1,ce,logistic,rprop+,0.89,0.89,0.9,0.89
100,3,3,1,ce,logistic,rprop+,0.89,0.89,0.9,0.89
100,4,4,1,ce,logistic,rprop+,0.89,0.91,0.86,0.88
100,"2,2",4,2,ce,logistic,rprop+,0.87,0.85,0.9,0.88
100,3,3,1,ce,logistic,rprop+,0.88,0.88,0.89,0.88
100,"2,3,2",7,3,ce,logistic,rprop+,0.87,0.86,0.9,0.88
100,"3,2",5,2,ce,logistic,rprop+,0.88,0.89,0.87,0.88
100,"3,3,2",8,3,ce,logistic,rprop+,0.89,0.92,0.85,0.88
100,"3,4",7,2,ce,logistic,rprop+,0.88,0.88,0.89,0.88
100,3,3,1,ce,logistic,rprop+,0.87,0.84,0.9,0.87
100,"2,1",3,2,ce,logistic,rprop+,0.86,0.84,0.9,0.87
100,2,2,1,ce,logistic,rprop+,0.86,0.84,0.9,0.87
100,"2,1,1,1",5,4,ce,logistic,rprop+,0.87,0.85,0.9,0.87
100,"2,2",4,2,ce,logistic,rprop+,0.87,0.85,0.9,0.87
100,"2,1,1,5",9,4,ce,logistic,rprop+,0.87,0.85,0.9,0.87
100,"2,4,3",9,3,ce,logistic,rprop+,0.87,0.86,0.88,0.87
100,"2,1",3,2,ce,logistic,rprop+,0.86,0.83,0.9,0.87
100,"2,2",4,2,ce,logistic,rprop+,0.86,0.84,0.9,0.87
100,"2,3",5,2,ce,logistic,rprop+,0.87,0.84,0.91,0.87
100,2,2,1,ce,logistic,rprop+,0.86,0.84,0.9,0.87
100,"2,3,2",7,3,ce,logistic,rprop+,0.87,0.85,0.9,0.87
100,"2,4",6,2,ce,logistic,rprop+,0.86,0.84,0.89,0.86
100,2,2,1,ce,logistic,rprop+,0.86,0.84,0.9,0.86
100,"2,4",6,2,ce,logistic,rprop+,0.86,0.86,0.87,0.86
100,"2,1",3,2,ce,logistic,rprop+,0.86,0.83,0.9,0.86
100,"1,5",6,2,ce,logistic,rprop+,0.8,0.8,0.79,0.8
100,"1,2",3,2,ce,logistic,rprop+,0.8,0.8,0.79,0.8
100,"1,2",3,2,ce,logistic,rprop+,0.8,0.81,0.79,0.8
100,"1,2,1",4,3,ce,logistic,rprop+,0.8,0.8,0.79,0.8
100,"1,3,3",7,3,ce,logistic,rprop+,0.8,0.8,0.79,0.8
100,"1,2,3,2",8,4,ce,logistic,rprop+,0.8,0.81,0.79,0.8
100,"1,4,4",9,3,ce,logistic,rprop+,0.8,0.8,0.79,0.8
100,1,1,1,ce,logistic,rprop+,0.79,0.81,0.76,0.78
100,1,1,1,ce,logistic,rprop+,0.79,0.81,0.76,0.78
