#type:		unclassified
#specification:	Pictish (pic)
#scriptcode:	Latn
#source:	http://outreach.mathstat.strath.ac.uk/outreach/pictish/database.php (last access: 28.03.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	The notation relies on: Mack, A. (1997). Field guide to the Pictish symbol stones. Pinkfoot Press. An overview of the most common symbols with a similar notation can be found in the appended document "Talorgain". Each line represents a different stone (sorted by their name in the database). '?' indicates unclear readings. Entries that were no smybol stones or pictish have been removed.

<stone_166>	double-disc comb double-disc+Z mirror
<stone_167>	deer's-head crescent+V
<stone_168>	step triple-disc
<stone_169>	eagle serpent bull's head
<stone_170>	elephant ogee
<stone_171>	double-disc+Z serpent+Z mirror
<stone_172>	triple-disc elephant
<stone_173>	fish-monster
<stone_174>	mirror-case mirror comb
<stone_175>	rectangle wolf mirror comb
<stone_176>	double-disc serpent+Z
<stone_177>	mirror
<stone_178>	mirror-case 2-cres
<stone_179>	horseshoe man
<stone_180>	elephant eagle
<stone_181>	divided-rectangle
<stone_182>	rectangle crescent+V
<stone_183>	crescent+V
<stone_184>	rectangle crescent+V
<stone_185>	eagle
<stone_186>	crescent+V flower
<stone_187>	divided-rectangle crescent+V mirror comb
<stone_188>	(ogee)
<stone_189>	salmon horseshoe
<stone_190>	goose rectangle
<stone_191>	crescent+V
<stone_192>	tuning-fork crescent+V
<stone_193>	salmon elephant
<stone_194>	double-disc+Z crescent+V
<stone_195>	man horseshoe
<stone_196>	elephant crescent+V mirror
<stone_197>	dogshead double-disc+Z mirror comb
<stone_198>	double-disc+Z crescent+V mirror
<stone_199>	elephant ogee comb
<stone_200>	crescent+V crescent+V double-disc+Z crescent+V mirror comb mirror
<stone_201>	step crescent pincers
<stone_202>	crescent+V elephant
<stone_203>	horseshoe disc
<stone_204>	rectangle horseshoe mirror
<stone_205>	mirror
<stone_206>	triple-oval mirror-case mirror comb
<stone_207>	elephant
<stone_208>	double-disc elephant
<stone_209>	triple-oval crescent+V
<stone_210>	crescent+V double-disc+Z elephant
<stone_211>	rectangle crescent+V crescent+V mirror-case
<stone_212>	double-disc+Z crescent mirror comb
<stone_213>	mirror comb serpent+Z eagle
<stone_214>	double-disc+Z
<stone_215>	double-disc
<stone_216>	double-disc+Z
<stone_217>	double-disc+Z
<stone_218>	crescent+V elephant
<stone_219>	step elephant
<stone_220>	elephant
<stone_221>	double-disc+Z double-disc+Z
<stone_222>	elephant
<stone_223>	mirror-case deer's-head
<stone_224>	horseshoe eagle
<stone_225>	double-disc+Z
<stone_226>	crescent+V tuning-fork serpent+Z
<stone_227>	elephant
<stone_228>	goose mirror mirror-case
<stone_229>	crescent+V double-disc+Z
<stone_230>	crescent+V double-disc+Z
<stone_231>	eagle elephant
<stone_232>	serpent+Z horseshoe mirror comb
<stone_233>	serpent
<stone_234>	double-disc+Z double-disc+Z
<stone_235>	crescent+V double-disc+Z mirror comb
<stone_236>	double-disc+Z elephant mirror
<stone_237>	crescent+V
<stone_238>	eagle divided-rectangle+Z
<stone_239>	serpent flower elephant salmon crescent+V beast step fish-monster double-disc 2-cres
<stone_240>	fish-monster mirror comb
<stone_241>	double-disc+Z
<stone_242>	crescent+V
<stone_243>	triple-oval crescent+V
<stone_244>	mirror comb
<stone_245>	human figure cup-marks
<stone_246>	mirror-case double-disc
<stone_247>	divided-rectangle mirror
<stone_248>	double-disc step
	

